Algoithm-1,Algorithm-2,Algorithm-3,T(n) = n^2,T(n) = n*log(n),T(n)=n
51,143,8,100,34,10
82,205,11,225,59,15
133,307,13,400,87,20
192,413,16,625,117,25
280,496,19,900,148,30
366,589,25,1225,180,35
485,719,27,1600,213,40
566,791,27,2025,248,45
675,985,34,2500,283,50
808,987,35,3025,318,55
955,1092,40,3600,355,60
1195,1166,38,4225,392,65
1391,1278,44,4900,430,70
1468,1411,47,5625,468,75
1645,1454,51,6400,506,80
1833,1646,54,7225,545,85
2060,1703,52,8100,585,90
2322,1734,67,9025,625,95
2533,1883,66,10000,665,100
